Set,R2,MAE,RMSE,MAPE_%
Train (Hold-out),0.9301998395606652,240.68439261304698,419.0108420693285,2.381776240171038
Test (Hold-out),0.1688191205017776,895.0056201388894,1102.9147388407305,8.641643809564357
